N_of_Goal,Date,Home_team,Away_team,Minute,What,How,Jersey,Competition_abb,Competition_name,Goals_H,Goals_A,Result,Leo_age,Leo_team,Scored_team,Home_or_Away,Leo_result,Partial_Score_H,Partial_Score_A,Minute_adjusted,Goal_time_period
628,2018-10-07,Valencia,FC Barcelona,23,Field goal,Left foot,10,PRM,La Liga,1,1,Draw,31,FC Barcelona,Valencia,Away,Tied,1,1,23,First half
627,2018-10-03,Tottenham Hotspur F.C.,FC Barcelona,90,Field goal,Left foot,10,EUR,UEFA Champions League,2,4,Away,31,FC Barcelona,Tottenham Hotspur F.C.,Away,Won,2,4,90,Second half
626,2018-10-03,Tottenham Hotspur F.C.,FC Barcelona,56,Field goal,Left foot,10,EUR,UEFA Champions League,2,4,Away,31,FC Barcelona,Tottenham Hotspur F.C.,Away,Won,1,3,56,Second half
625,2018-09-23,FC Barcelona,Girona,19,Field goal,Left foot,10,PRM,La Liga,2,2,Draw,31,FC Barcelona,Girona,Home,Tied,1,0,19,First half
624,2018-09-18,FC Barcelona,PSV Eindhoven,87,Field goal,Right foot,10,EUR,UEFA Champions League,4,0,Home,31,FC Barcelona,PSV Eindhoven,Home,Won,4,0,87,Second half
623,2018-09-18,FC Barcelona,PSV Eindhoven,77,Field goal,Left foot,10,EUR,UEFA Champions League,4,0,Home,31,FC Barcelona,PSV Eindhoven,Home,Won,3,0,77,Second half
622,2018-09-18,FC Barcelona,PSV Eindhoven,32,Free kick,Left foot,10,EUR,UEFA Champions League,4,0,Home,31,FC Barcelona,PSV Eindhoven,Home,Won,1,0,32,First half
621,2018-09-02,FC Barcelona,Huesca,61,Field goal,Left foot,10,PRM,La Liga,8,2,Home,31,FC Barcelona,Huesca,Home,Won,6,2,61,Second half
620,2018-09-02,FC Barcelona,Huesca,16,Field goal,Right foot,10,PRM,La Liga,8,2,Home,31,FC Barcelona,Huesca,Home,Won,1,1,16,First half
619,2018-08-18,FC Barcelona,Alavés,90+2,Field goal,Left foot,10,PRM,La Liga,3,0,Home,31,FC Barcelona,Alavés,Home,Won,3,0,92,Additional time
618,2018-08-18,FC Barcelona,Alavés,64,Free kick,Left foot,10,PRM,La Liga,3,0,Home,31,FC Barcelona,Alavés,Home,Won,1,0,64,Second half
617,2018-06-26,Nigeria,Argentina,14,Field goal,Right foot,10,WCP,World Cup 2018,1,2,Away,31,Argentina,Nigeria,Away,Won,0,1,14,First half
616,2018-05-29,Argentina,Haiti,66,Field goal,Left foot,10,FRN,International friendly,4,0,Home,30,Argentina,Haiti,Home,Won,3,0,66,Second half
615,2018-05-29,Argentina,Haiti,58,Rebound,Right foot,10,FRN,International friendly,4,0,Home,30,Argentina,Haiti,Home,Won,2,0,58,Second half
614,2018-05-29,Argentina,Haiti,17,Penalty,Left foot,10,FRN,International friendly,4,0,Home,30,Argentina,Haiti,Home,Won,1,0,17,First half
613,2018-05-09,FC Barcelona,Villarreal,45,Field goal,Left foot,10,PRM,La Liga,5,1,Home,30,FC Barcelona,Villarreal,Home,Won,3,0,45,First half
612,2018-05-06,FC Barcelona,Real Madrid,52,Field goal,Left foot,10,PRM,La Liga,2,2,Draw,30,FC Barcelona,Real Madrid,Home,Tied,2,1,52,Second half
611,2018-04-29,Deportivo La Coruña,FC Barcelona,85,Field goal,Left foot,10,PRM,La Liga,2,4,Away,30,FC Barcelona,Deportivo La Coruña,Away,Won,2,4,85,Second half
610,2018-04-29,Deportivo La Coruña,FC Barcelona,82,Field goal,Right foot,10,PRM,La Liga,2,4,Away,30,FC Barcelona,Deportivo La Coruña,Away,Won,2,3,82,Second half
609,2018-04-29,Deportivo La Coruña,FC Barcelona,38,Field goal,Left foot,10,PRM,La Liga,2,4,Away,30,FC Barcelona,Deportivo La Coruña,Away,Won,0,2,38,First half
608,2018-04-21,Sevilla,FC Barcelona,31,Field goal,Left foot,10,CUP,Copa del Rey,0,5,Away,30,FC Barcelona,Sevilla,Away,Won,0,2,31,First half
607,2018-04-07,FC Barcelona,Leganés,87,Field goal,Left foot,10,PRM,La Liga,3,1,Home,30,FC Barcelona,Leganés,Home,Won,3,1,87,Second half
606,2018-04-07,FC Barcelona,Leganés,32,Field goal,Left foot,10,PRM,La Liga,3,1,Home,30,FC Barcelona,Leganés,Home,Won,2,0,32,First half
605,2018-04-07,FC Barcelona,Leganés,27,Free kick,Left foot,10,PRM,La Liga,3,1,Home,30,FC Barcelona,Leganés,Home,Won,1,0,27,First half
604,2018-03-31,Sevilla,FC Barcelona,89,Field goal,Left foot,10,PRM,La Liga,2,2,Draw,30,FC Barcelona,Sevilla,Away,Tied,2,2,89,Second half
603,2018-03-18,FC Barcelona,Athletic de Bilbao,30,Field goal,Left foot,10,PRM,La Liga,2,0,Home,30,FC Barcelona,Athletic de Bilbao,Home,Won,2,0,30,First half
602,2018-03-14,FC Barcelona,Chelsea,63,Field goal,Left foot,10,EUR,UEFA Champions League,3,0,Home,30,FC Barcelona,Chelsea,Home,Won,3,0,63,Second half
601,2018-03-14,FC Barcelona,Chelsea,3,Field goal,Right foot,10,EUR,UEFA Champions League,3,0,Home,30,FC Barcelona,Chelsea,Home,Won,1,0,3,First half
600,2018-03-04,FC Barcelona,Atlético Madrid,26,Free kick,Left foot,10,PRM,La Liga,1,0,Home,30,FC Barcelona,Atlético Madrid,Home,Won,1,0,26,First half
599,2018-03-01,Las Palmas,FC Barcelona,21,Free kick,Left foot,10,PRM,La Liga,1,1,Draw,30,FC Barcelona,Las Palmas,Away,Tied,0,1,21,First half
598,2018-02-24,FC Barcelona,Girona,36,Free kick,Left foot,10,PRM,La Liga,6,1,Home,30,FC Barcelona,Girona,Home,Won,3,1,36,First half
597,2018-02-24,FC Barcelona,Girona,30,Field goal,Left foot,10,PRM,La Liga,6,1,Home,30,FC Barcelona,Girona,Home,Won,2,1,30,First half
596,2018-02-20,Chelsea,FC Barcelona,75,Field goal,Left foot,10,EUR,UEFA Champions League,1,1,Draw,30,FC Barcelona,Chelsea,Away,Tied,1,1,75,Second half
595,2018-01-28,FC Barcelona,Alavés,84,Free kick,Left foot,10,PRM,La Liga,2,1,Home,30,FC Barcelona,Alavés,Home,Won,2,1,84,Second half
594,2018-01-25,FC Barcelona,Espanyol,25,Field goal,Left foot,10,CUP,Copa del Rey,2,0,Home,30,FC Barcelona,Espanyol,Home,Won,2,0,25,First half
593,2018-01-21,Real Betis,FC Barcelona,80,Solo run,Left foot,10,PRM,La Liga,0,5,Away,30,FC Barcelona,Real Betis,Away,Won,0,4,80,Second half
592,2018-01-21,Real Betis,FC Barcelona,64,Field goal,Left foot,10,PRM,La Liga,0,5,Away,30,FC Barcelona,Real Betis,Away,Won,0,2,64,Second half
591,2018-01-14,Real Sociedad,FC Barcelona,85,Free kick,Left foot,10,PRM,La Liga,2,4,Away,30,FC Barcelona,Real Sociedad,Away,Won,2,4,85,Second half
590,2018-01-11,FC Barcelona,Celta de Vigo,15,Field goal,Left foot,10,CUP,Copa del Rey,5,0,Home,30,FC Barcelona,Celta de Vigo,Home,Won,2,0,15,First half
589,2018-01-11,FC Barcelona,Celta de Vigo,13,Field goal,Left foot,10,CUP,Copa del Rey,5,0,Home,30,FC Barcelona,Celta de Vigo,Home,Won,1,0,13,First half
588,2018-01-07,FC Barcelona,Levante,12,Field goal,Left foot,10,PRM,La Liga,3,0,Home,30,FC Barcelona,Levante,Home,Won,1,0,12,First half
587,2017-12-23,Real Madrid,FC Barcelona,64,Penalty,Left foot,10,PRM,La Liga,0,3,Away,30,FC Barcelona,Real Madrid,Away,Won,0,2,64,Second half
586,2017-12-10,Villarreal,FC Barcelona,83,Field goal,Left foot,10,PRM,La Liga,0,2,Away,30,FC Barcelona,Villarreal,Away,Won,0,2,83,Second half
585,2017-12-02,FC Barcelona,Celta de Vigo,22,Field goal,Left foot,10,PRM,La Liga,2,2,Draw,30,FC Barcelona,Celta de Vigo,Home,Tied,1,1,22,First half
584,2017-10-28,Athletic de Bilbao,FC Barcelona,36,Field goal,Left foot,10,PRM,La Liga,0,2,Away,30,FC Barcelona,Athletic de Bilbao,Away,Won,0,1,36,First half
583,2017-10-18,FC Barcelona,Olympiacos,61,Free kick,Left foot,10,EUR,UEFA Champions League,3,1,Home,30,FC Barcelona,Olympiacos,Home,Won,2,0,61,Second half
582,2017-10-10,Ecuador,Argentina,63,Field goal,Left foot,10,WCQ,World Cup 2018 Qualification,1,3,Away,30,Argentina,Ecuador,Away,Won,1,3,63,Second half
581,2017-10-10,Ecuador,Argentina,20,Field goal,Left foot,10,WCQ,World Cup 2018 Qualification,1,3,Away,30,Argentina,Ecuador,Away,Won,1,2,20,First half
580,2017-10-10,Ecuador,Argentina,12,Field goal,Left foot,10,WCQ,World Cup 2018 Qualification,1,3,Away,30,Argentina,Ecuador,Away,Won,1,1,12,First half
579,2017-10-01,FC Barcelona,Las Palmas,77,Field goal,Left foot,10,PRM,La Liga,3,0,Home,30,FC Barcelona,Las Palmas,Home,Won,3,0,77,Second half
578,2017-10-01,FC Barcelona,Las Palmas,71,Field goal,Left foot,10,PRM,La Liga,3,0,Home,30,FC Barcelona,Las Palmas,Home,Won,2,0,71,Second half
577,2017-09-19,FC Barcelona,Eibar,87,Field goal,Left foot,10,PRM,La Liga,6,1,Home,30,FC Barcelona,Eibar,Home,Won,6,1,87,Second half
576,2017-09-19,FC Barcelona,Eibar,62,Field goal,Left foot,10,PRM,La Liga,6,1,Home,30,FC Barcelona,Eibar,Home,Won,5,1,62,Second half
575,2017-09-19,FC Barcelona,Eibar,59,Field goal,Left foot,10,PRM,La Liga,6,1,Home,30,FC Barcelona,Eibar,Home,Won,4,1,59,Second half
574,2017-09-19,FC Barcelona,Eibar,20,Penalty,Left foot,10,PRM,La Liga,6,1,Home,30,FC Barcelona,Eibar,Home,Won,1,0,20,First half
573,2017-09-12,FC Barcelona,Juventus,69,Field goal,Left foot,10,EUR,UEFA Champions League,3,0,Home,30,FC Barcelona,Juventus,Home,Won,3,0,69,Second half
572,2017-09-12,FC Barcelona,Juventus,45,Field goal,Left foot,10,EUR,UEFA Champions League,3,0,Home,30,FC Barcelona,Juventus,Home,Won,1,0,45,First half
571,2017-09-09,FC Barcelona,Espanyol,67,Field goal,Left foot,10,PRM,La Liga,5,0,Home,30,FC Barcelona,Espanyol,Home,Won,3,0,67,Second half
570,2017-09-09,FC Barcelona,Espanyol,35,Field goal,Right foot,10,PRM,La Liga,5,0,Home,30,FC Barcelona,Espanyol,Home,Won,2,0,35,First half
569,2017-09-09,FC Barcelona,Espanyol,26,Field goal,Left foot,10,PRM,La Liga,5,0,Home,30,FC Barcelona,Espanyol,Home,Won,1,0,26,First half
568,2017-08-26,Alavés,FC Barcelona,66,Field goal,Left foot,10,PRM,La Liga,0,2,Away,30,FC Barcelona,Alavés,Away,Won,0,2,66,Second half
567,2017-08-26,Alavés,FC Barcelona,55,Field goal,Left foot,10,PRM,La Liga,0,2,Away,30,FC Barcelona,Alavés,Away,Won,0,1,55,Second half
566,2017-08-13,FC Barcelona,Real Madrid,76,Penalty,Left foot,10,SUP,Spanish Super Cup,1,3,Away,30,FC Barcelona,Real Madrid,Home,Lost,1,1,76,Second half
565,2017-05-27,FC Barcelona,Alavés,30,Field goal,Left foot,10,CUP,Copa del Rey,3,1,Home,29,FC Barcelona,Alavés,Home,Won,1,0,30,First half
